"Key","LastModified","ETag","Size","StorageClass","Bucket"
"parsed/F9-P01-T00-SUMMARY-2018.csv","2023-03-21T19:07:16.000Z","""ceb79cce5f21942a050aafc6fa7c2e98-25""",202326411,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-2018.rds","2023-03-21T19:08:38.000Z","""14a9b1ddb40e38f8f1065b58aa42d31a-8""",60004948,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-2019.csv","2023-03-21T19:09:03.000Z","""dcb62c4f04cec56d29b0d65543ce9c6c-23""",189268254,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-2019.rds","2023-03-21T19:10:17.000Z","""aab85e30ee6f98d0347c1445c5f1deab-7""",55923488,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2009.csv","2023-03-21T19:10:49.000Z","""88d054a1af319dfd153e51c53652d3e6-2""",8576168,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2009.rds","2023-03-21T19:10:58.000Z","""a7af65804a80680243a6c938e9f17757""",1481068,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2010.csv","2023-03-21T19:10:58.000Z","""cd70bc7a2affb34e82a558013fc263fa-4""",32424039,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2010.rds","2023-03-21T19:11:24.000Z","""575bcbec3484085474de889060820d6b""",5954902,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2011.csv","2023-03-21T19:11:04.000Z","""c6b848e1c24a1eb7907bd96832c32a0c-6""",42430465,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2011.rds","2023-03-21T19:11:54.000Z","""20db1ffe665cc13780b510dcd5d71b71""",7197912,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2012.csv","2023-03-21T19:11:27.000Z","""c293f9308dea051138f644f2abe0c9eb-6""",48010195,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2012.rds","2023-03-21T19:11:57.000Z","""ed0da0c3b39c9f2de7f3644f1f038191-2""",8750886,"STANDARD","nccs-efile"
"parsed/F9-P01-T00-SUMMARY-EZ-2013.csv","2023-03-21T19:11:58.000Z","""79b5c97bb26fc51a55f3c17f4f687071-7""",53201826,"STANDARD","nccs-efile"
