"source","Prefix","Key","LastModified","ETag","Size","SizeMB","StorageClass","Bucket","URL"
"unified","unified/bmf/","unified/bmf/_manifest.json","2026-07-26T11:49:26.000Z","""c5f545d7e4312b8be052e5721500d285""",6257,"0 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/_manifest.json"
"unified","unified/bmf/","unified/bmf/bmf_unified.csv","2026-07-26T02:13:27.000Z","""af6f0e714f7a15d6da352e5acd144796-31""",3053292343,"3053.3 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/bmf_unified.csv"
"unified","unified/bmf/","unified/bmf/bmf_unified.parquet","2026-07-26T02:13:14.000Z","""40b0b1a91d41eb8472352f79d7eb1818-6""",512507238,"512.5 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/bmf_unified.parquet"
"unified","unified/bmf/","unified/bmf/bmf_unified_data_dictionary.csv","2026-07-26T02:14:40.000Z","""00f87da5cf3a8f7b47cd6627f3fdc95a""",9167,"0 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/bmf_unified_data_dictionary.csv"
"unified","unified/bmf/","unified/bmf/bmf_unified_quality_report.html","2026-07-26T02:14:40.000Z","""3d7ffa901cf8f9a9928f6adbad7a201e""",1891929,"1.9 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/bmf_unified_quality_report.html"
"unified","unified/bmf/","unified/bmf/bmf_unified_quality_report.json","2026-07-26T02:14:40.000Z","""ed77dea90328628251f8c8be4e55f0c2""",26149,"0 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/bmf_unified_quality_report.json"
"unified","unified/bmf/","unified/bmf/latest/_manifest.json","2026-07-26T11:49:35.000Z","""c5f545d7e4312b8be052e5721500d285""",6257,"0 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/latest/_manifest.json"
"unified","unified/bmf/","unified/bmf/latest/bmf_unified.csv","2026-07-26T11:49:35.000Z","""c4ea214ace38d7126049d6b6399a5782-364""",3053292343,"3053.3 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/latest/bmf_unified.csv"
"unified","unified/bmf/","unified/bmf/latest/bmf_unified.parquet","2026-07-26T11:49:31.000Z","""2fb1e196f87e2e3f1c764348242e5a65-62""",512507238,"512.5 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/latest/bmf_unified.parquet"
"unified","unified/bmf/","unified/bmf/latest/bmf_unified_data_dictionary.csv","2026-07-26T11:49:34.000Z","""00f87da5cf3a8f7b47cd6627f3fdc95a""",9167,"0 mb","STANDARD","nccsdata","https://nccsdata.s3.us-east-1.amazonaws.com/unified/bmf/latest/bmf_unified_data_dictionary.csv"
